收容所編號,名稱,縣市,鄉鎮,村里,門牌地址,類型,水災,震災,土石流,海嘯,救濟支站,無障礙設施,室內,室外,服務里別,容納人數,收容所面積（平方公尺）,聯絡人姓名,聯絡人連絡電話,管理人姓名,管理人連絡電話,備考,完整地址,longitude,latitude
SA110-0017,臺北市立瑠公國民中學,臺北市,信義區,中行里,福德街221巷15號,學校,N,備用,N,N,Y,Y,Y,N,大道里、中坡里、中行里、大仁里、松光里、松隆里,100,1298.35,程淑玲,02-27261481#401,漫安琦,02-27261481#100,,臺北市信義區中行里福德街221巷15號,121.585327,25.037068
SA110-0018,臺北市信義區福德國民小學,臺北市,信義區,中行里,福德街253號,學校,N,備用,N,N,Y,Y,Y,N,中行里、中坡里、松隆里,105,420,張雅祺,02-27277992#31,褚希雯,02-27277992#10,,臺北市信義區中行里福德街253號,121.586527,25.038902
SA110-0019,臺北市信義區興雅國民小學,臺北市,信義區,雅祥里,基隆路一段83巷9號,學校,N,備用,N,N,Y,Y,Y,N,新仁里、敦厚里、興雅里、雅祥里、五全里、五常里、六藝里、四育里,198,3485.72,張曼薇,02-27618156#630,蔡宗良,02-27618156#601,,臺北市信義區雅祥里基隆路一段83巷9號,121.570069,25.046768
SA110-0021,景勤1號公園,臺北市,信義區,景勤里,吳興街220巷59弄旁(陸軍保養廠),公園/綠地,N,Y,N,N,N,Y,N,Y,全區,942,11563,高奕翔,02-27884255,高奕翔,02-27884255,,臺北市信義區景勤里吳興街220巷59弄旁(陸軍保養廠),,
SA110-0022,景勤2號公園,臺北市,信義區,景勤里,信安街、吳興街220巷交口,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,1023,11790,高奕翔,02-27884255,高奕翔,02-27884255,,臺北市信義區景勤里信安街、吳興街220巷交口,121.561503,25.026416
SA110-0023,三興市場大樓地下停車場,臺北市,信義區,景勤里,臺北市信義區吳興街156巷6號B1、B2,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,504,1891.65,市場處市場輔導科趙錦秀,2550-5220#5016,市場處市場輔導科趙錦秀,2550-5220#5011,三興超市,臺北市信義區吳興街156巷6號B1、B2,121.560752,25.02855
SA110-0024,市府轉運站,臺北市,信義區,興雅里,臺北市信義區忠孝東路5段6號,捷運站體,N,N,N,N,Y,Y,Y,N,全區,8248,32993,防災中心,02-27221166#8119,張國光,02-27221166#9,,臺北市信義區忠孝東路5段6號,121.575641,25.041635
SA110-0025,臺北市市場處全聯松山松興店地下二樓停車場,臺北市,信義區,興雅里,臺北市信義區松隆路36號地下二樓,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,177,349,市場處輔導科趙錦秀,02-25505220#5011,市場處輔導科趙錦秀,02-25505220#5011,松興超市,臺北市信義區松隆路36號地下二樓,121.574175,25.047047
SA110-0026,臺北市立圖書館六合分館,臺北市,信義區,六合里,臺北市信義區松仁路240巷19號3-5樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,46,184,分館主任：邱皓庭,02-27292485,分館主任：邱皓庭,02-27292485,,臺北市信義區松仁路240巷19號3-5樓,121.568348,25.024392
SA110-0027,臺北市立圖書館永春分館,臺北市,信義區,長春里,臺北市信義區松山路294號3-4樓,圖書館,N,N,N,N,Y,Y,Y,N,全區,76,306,分館主任：陳鈺青,02-27609730,分館主任：陳鈺青,02-27609730,,臺北市信義區松山路294號3-4樓,121.577646,25.043018
SA111-0001,臺北市士林區社子國民小學,臺北市,士林區,永倫里,延平北路六段308號,學校,Y,備用,N,N,Y,Y,Y,N,社子里、社園里、永倫里、福安里、社新里,160,640,羅泰興,02-28122505#830,朱榮富,02-28122505#888,,臺北市士林區永倫里延平北路六段308號,121.502939,25.089803
SA111-0002,臺北市立至善國民中學,臺北市,士林區,臨溪里,至善路二段360號,學校,N,備用,老舊聚落,N,Y,Y,Y,N,溪山里、翠山里、福林里、臨溪里、名山里、岩山里、福志里,157,630,王琮郁,02-2841#1350#40,洪春金,02-2841#1350#10,,臺北市士林區臨溪里至善路二段360號,121.557187,25.104742
SA111-0003,臺北市士林區福林國民小學,臺北市,士林區,福志里,福志路75號,學校,N,Y,N,N,Y,Y,Y,N,福林里、福志里、舊佳里、臨溪里,168,674,曾蕙雯主任、張琮祐幹事,02-28316293#204、234,黃國庭校長,02-28316293#201,,臺北市士林區福志里福志路75號,121.529687,25.098691
SA111-0004,臺北市士林區士林國民小學,臺北市,士林區,福德里,大東路165號,學校,N,Y,老舊聚落,N,Y,Y,Y,N,仁勇里、義信里、福佳里、福林里、舊佳里、福德里,219,876,楊國材,02-28812231#231,吳明郁,02-28821024,,臺北市士林區福德里大東路165號,121.525071,25.092834
SA111-0005,臺北市士林區陽明山國民小學,臺北市,士林區,新安里,仰德大道三段61號,學校,N,備用,Y,N,Y,Y,Y,N,永福里、公館里、新安里、陽明里、菁山里、芝山里,50,200,范姜群岳,02-28616366#131,梁志恒,02-28616366#101,,臺北市士林區新安里仰德大道三段61號,121.55279,25.119345
SA111-0006,臺北市溪山實驗國民小學,臺北市,士林區,溪山里,至善路三段199號,學校,N,備用,Y,N,Y,Y,Y,N,溪山里,50,105,蔡三陽,02-28411010#213,施春明,02-28411010#128,,臺北市士林區溪山里至善路三段199號,121.579317,25.119619
SA111-0007,士林官邸公園,臺北市,士林區,福林里,福林路60號,公園/綠地,N,Y,N,N,N,Y,N,Y,全區,1930,129965,黃瑜馨,02-28812512,黃瑜馨,02-28812512,,臺北市士林區福林里福林路60號,121.530248,25.094587
SA111-0008,臺北市士林運動中心,臺北市,士林區,福德里,士商路1號,體育場館/運動中心,N,備用,N,N,Y,N,Y,N,福德里、仁勇里、義信里、福林里、福志里、舊佳里、福佳港、後港里、福中里、前港里、百齡里、承德里、福華里、明勝里,171,1362.53,陳祖榮,02-2880-6066#101,丁鳳儀,02-2570-2330#6467,,臺北市士林區福德里士商路1號,121.521425,25.089334
SA111-0009,臺北市市場處士東市場地下停車場,臺北市,士林區,三玉里,臺北市士林區士東路100號,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,771,2979.79,市場處市場科蔡宜育,02-2550-5220#2131,市場處市場科蔡宜育,02-2550-5220#2131,,臺北市士林區士東路100號,121.528828,25.110792
SA111-0010,天母棒球場,臺北市,士林區,三玉里,忠誠路二段77號,體育場館/運動中心,Y,備用,N,N,Y,N,N,Y,芝山里、岩山里、名山里、聖山里、東山里、忠誠里、德行里、德華里、蘭雅里、蘭興里、三玉里、天福里、天祿里、天壽里、天和里、天山里、天玉里、天母里,150,290,黃士軒,02-2873-5688#222,蘇君偉,02-2570-2330#6523,,臺北市士林區三玉里忠誠路二段77號,121.532814,25.113553
SA111-0011,臺北市士林區三玉國民小學,臺北市,士林區,三玉里,天母東路116號,學校,N,備用,N,N,Y,Y,Y,N,天和里、天山里、天福里、三玉里、東山里,782,14335,紀乃勳,02-28751369#717,詹瑞璟,02-28751369#733,,臺北市士林區三玉里天母東路116號,121.53732,25.117996
SA111-0012,臺北市士林區士東國民小學,臺北市,士林區,蘭雅里,中山北路六段392號,學校,Y,備用,N,N,Y,Y,Y,N,天祿里、三玉里、蘭雅里、天壽里、天福里,275,1118.77,李啓猷,02-28710064#241,江啓昱,02-28710064#111,,臺北市士林區蘭雅里中山北路六段392號,121.526813,25.112978
SA111-0013,臺北市立士林高級商業職業學校,臺北市,士林區,後港里,士商路150號,學校,N,備用,N,N,Y,Y,Y,N,後港里、福佳里、福德里,54,1644,鄭旭峰,02-28313114#401,余耀銘,02-28313114#101,,臺北市士林區後港里士商路150號,121.516344,25.094993
SA111-0014,臺北市立士林國民中學,臺北市,士林區,福德里,中正路345號,學校,N,備用,N,N,Y,Y,Y,N,福佳里、福德里、舊佳里、福林里、福志里、義信里、仁勇里、社新里、社園里,39,1647,黃懷濬,02-88613411#500,胡智為,02-88613411#100,,臺北市士林區福德里中正路345號,121.522569,25.094351
SA111-0015,臺北市士林區天母國民小學,臺北市,士林區,天玉里,天玉街12號,學校,Y,備用,N,N,Y,Y,Y,N,天母里、天玉里、天山里、天壽里,323,1600,江崇男,02-28723336#9501,邱雅莉,02-28723336#9101,,臺北市士林區天玉里天玉街12號,121.527454,25.119737
SA111-0016,臺北市立天母國民中學,臺北市,士林區,三玉里,天母東路120號,學校,N,備用,N,N,Y,Y,Y,N,天母里、天山里、天玉里、天福里、天和里、三玉里、天壽里、東山里、芝山里,99,882,林崇欽,02-28754864#500,陳麗英,02-28754864#100,,臺北市士林區三玉里天母東路120號,121.538159,25.117975
SA111-0017,台北市士林區文昌國民小學,臺北市,士林區,德華里,文林路615巷20號,學校,Y,備用,N,N,Y,Y,Y,N,德華里、福佳里、德行里、蘭興里,140,610,陳佩雯,02-28365411#130,張伯謙,02-28365411#100,,臺北市士林區德華里文林路615巷20號,121.520905,25.099616
SA111-0018,臺北市士林區平等國民小學,臺北市,士林區,平等里,平菁街101號,學校,N,備用,N,N,Y,Y,Y,N,平等里,30,163,蘇明順,02-28610503#830,賴婷妤,02-28610503#207,,臺北市士林區平等里平菁街101號,121.576041,25.128942
SA111-0019,臺北市士林區百齡高級中學,臺北市,士林區,義信里,承德路四段177號,學校,Y,備用,N,N,Y,Y,Y,N,義信里、仁勇里、承德里、福華里、前港里、明勝里、百齡里、福中里,300,1650,章瑄文,02-28831568#302,張盈霏,02-28831568#601,,臺北市士林區義信里承德路四段177號,121.523071,25.086987
SA111-0020,臺北市士林區百齡國民小學,臺北市,士林區,福中里,福港街205號,學校,Y,備用,N,N,Y,Y,Y,N,後港里、福中里、前港里、百齡里、福華里,342,1080,曹世群,02-28817683#850,張育成,02-28817683#801,,臺北市士林區福中里福港街205號,121.517822,25.086206
SA111-0021,臺北市士林區芝山國民小學,臺北市,士林區,芝山里,德行東路285號,學校,Y,備用,N,N,Y,Y,Y,N,芝山里、三玉里、東山里、臨溪里、岩山里、聖山里,75,315,連莉莉,02-28316115#240,范如君,02-28316115#210,,臺北市士林區芝山里德行東路285號,121.536427,25.110386
SA111-0022,臺北市士林區雨農國民小學,臺北市,士林區,名山里,忠義街1號,學校,N,備用,N,N,Y,Y,Y,N,忠誠里、名山里、聖山里、芝山里、臨溪里、岩山里,124,496,吳正男,02-28329700#231,陳玟錡,02-28329700#111,,臺北市士林區名山里忠義街1號,121.52892,25.102291
SA111-0023,臺北市士林區雨聲國民小學,臺北市,士林區,岩山里,至誠路一段62巷70號,學校,Y,備用,N,N,Y,Y,Y,N,芝山里、臨溪里、岩山里、名山里,30,146,周桂芳,02-28311004#231,黃冠達,02-28311004#201,,臺北市士林區岩山里至誠路一段62巷70號,121.536252,25.101207
SA111-0024,臺北市立格致國民中學,臺北市,士林區,陽明里,仰德大道四段75號,學校,N,備用,N,N,Y,N,Y,N,公館里、平等里、永福里、菁山里、陽明里、新安里,73,234,李欣怡,02-28610079#107,詹馨怡,02-28610079#101,,臺北市士林區陽明里仰德大道四段75號,121.546805,25.13111
SA111-0025,臺北市士林區富安國民小學,臺北市,士林區,富洲里,延平北路八段135號,學校,Y,備用,N,N,Y,Y,Y,N,富洲里、福安里,71,1560,張凱惠,02-28103192#631,卓家夙,02-28103192#661,,臺北市士林區富洲里延平北路八段135號,121.482437,25.105863
SA111-0026,臺北市立陽明高級中學,臺北市,士林區,後港里,中正路510號,學校,N,備用,N,N,Y,Y,Y,N,社子里、後港里、葫蘆里、福順里、葫東里、富光里、社園里、社新里、福佳里,110,154.31,陳佑昌,02-28316675#140,蔡哲銘,02-28316675#100,,臺北市士林區後港里中正路510號,121.517203,25.091851
SA111-0027,臺北市士林區葫蘆國民小學,臺北市,士林區,葫蘆里,環河北路三段95號,學校,Y,備用,N,N,Y,Y,Y,N,葫蘆里、葫東里、富光里、福順里、社新里、社子里,88,540,陳建華,02-28129586#831,蔡新淵,02-28129586#861,,臺北市士林區葫蘆里環河北路三段95號,121.507024,25.083758
SA111-0028,臺北市立福安國民中學,臺北市,士林區,福安里,延平北路七段250號,學校,Y,備用,N,N,Y,Y,Y,N,永倫里、福安里、富洲里、社子里、社新里、社園里,30,542,黃培培,02-28108766#140,施俞旭,02-28108766#100,,臺北市士林區福安里延平北路七段250號,121.487393,25.103353
SA111-0029,臺北市士林區劍潭國民小學,臺北市,士林區,明勝里,通河街16號,學校,Y,備用,N,N,Y,Y,Y,N,承德里、明勝里、福華里,31,172.5,楊振昌,02-28855491#830,楊美惠,02-28855491#800,學校:本校地勢低窪原113年調查亦填報水災為否，不知為何變更為是，現修正為否。本府回復:請依本府工務局水利工程處災害淺勢評估結果為準。,臺北市士林區明勝里通河街16號,121.522947,25.079957
SA111-0030,臺北市士林區雙溪國民小學小,臺北市,士林區,翠山里,中社路二段66號,學校,N,備用,N,N,Y,Y,Y,N,翠山里、臨溪里,30,128,吳欣儒,02-28411038#25,廖大烱,02-28411038#37,,臺北市士林區翠山里中社路二段66號,121.563822,25.1061
SA111-0031,臺北市士林區蘭雅國民小學,臺北市,士林區,蘭興里,磺溪街57號,學校,N,備用,N,N,Y,Y,Y,N,蘭興里、蘭雅里、德行里、忠誠里,30,300,劉人豪,02-28366052#232,藍惠美,02-28366052#201,,臺北市士林區蘭興里磺溪街57號,121.523144,25.108408
SA111-0032,臺北市立蘭雅國民中學,臺北市,士林區,三玉里,忠誠路二段51號,學校,Y,備用,N,N,Y,Y,Y,N,三玉里、天祿里、聖山里、名山里、忠誠里、蘭雅里、蘭興里、德行里、德華里、天壽里、岩山里、東山里、芝山里,130,1314.04,林億清,02-28329377#500,張幸愉,02-28329377#101,,臺北市士林區三玉里忠誠路二段51號,121.531055,25.110583
SA111-0035,美崙公園,臺北市,士林區,福佳里,美崙街152巷,公園/綠地,N,Y,N,N,N,Y,N,Y,福佳、舊佳、福德、義信、仁勇、福志、後港、德華、德行里,5233,60288,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市士林區福佳里美崙街152巷,121.521084,25.097455
SA111-0036,前港公園,臺北市,士林區,前港里,華齡街與前港街交叉口(百齡國小對面),公園/綠地,Y,Y,N,N,N,Y,N,Y,後港、福中、前港、百齡、承德、福華、明勝里,3136,36129,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市士林區前港里華齡街與前港街交叉口(百齡國小對面),,
SA111-0037,福林公園,臺北市,士林區,福林里,福林路2號(中山北路與福林路交叉口).,公園/綠地,Y,Y,N,N,N,Y,N,Y,福佳、舊佳、福德、義信、仁勇、福志、名山、聖山、岩山里,2284,26316,黃瑜馨,02-28812512,黃瑜馨,02-28812512,,臺北市士林區福林里福林路2號(中山北路與福林路交叉口).,,
SA111-0038,忠誠公園,臺北市,士林區,名山里,中山北路六段與忠誠路一段交叉口,公園/綠地,N,Y,N,N,N,N,N,Y,岩山、名山、聖山、芝山、東山、忠誠、德行、德華、蘭雅、蘭興里,881,10149,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市士林區名山里中山北路六段與忠誠路一段交叉口,,
SA111-0039,天和公園,臺北市,士林區,天和里,天母東路69巷前,公園/綠地,Y,Y,N,N,N,N,N,Y,三玉、天福、天祿、天壽、天和、天山、天玉、天母、東山里,1296,936,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市士林區天和里天母東路69巷前,121.536204,25.11818
SA111-0040,社子公園,臺北市,士林區,社園里,永平街20巷11弄3號對面,公園/綠地,N,Y,N,N,N,N,N,Y,福順、富光、葫蘆、葫東、社子、社新、社園、永倫、福安、富洲里,874,10713,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市士林區社園里永平街20巷11弄3號對面,121.505824,25.090191
SA111-0041,臺北市市場處士林市場地下停車場,臺北市,士林區,義信里,臺北市士林區基河路101號,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,1325,5300.82,市場處市場科許舜傑,02-2550-5220#2118,市場處市場科許舜傑,02-2550-5220#2118,,臺北市士林區基河路101號,121.524166,25.087958
SA111-0042,臺北市立圖書館天母分館,臺北市,士林區,天山里,臺北市士林區中山北路七段154巷6號3、4樓,圖書館,N,N,N,N,Y,Y,Y,N,全區,41,165,分館主任：謝宜瑾,02-28736203,分館主任：謝宜瑾,02-28736203,,臺北市士林區中山北路七段154巷6號3、4樓,121.532945,25.123448
SA111-0043,臺北市立圖書館李科永紀念館,臺北市,士林區,福林里,臺北市士林區中正路15號,圖書館,Y,N,N,N,Y,Y,Y,N,全區,46,204,分館主任：袁大鈺,02-28833453,分館主任：袁大鈺,02-28833453,,臺北市士林區中正路15號,121.521902,25.093833
SA111-0044,臺北市立圖書館葫蘆堵分館,臺北市,士林區,福順里,臺北市士林區延平北路五段136巷1號3-9樓,圖書館,N,N,N,N,Y,Y,Y,N,全區,190,760,分館主任：葉奕辰,02-28126513,分館主任：葉奕辰,02-28126513,,臺北市士林區延平北路五段136巷1號3-9樓,121.509453,25.086096
SA111-0045,臺北表演藝術中心,臺北市,士林區,義信里,台北市士林區劍潭路1號,藝術中心,N,N,N,N,Y,Y,Y,N,前港里義信里,5061,12309.67,楊秉叡經理,02-77563800#1766,楊秉叡經理,02-77563800#1766,,台北市士林區劍潭路1號,121.524157,25.084615
SA112-0001,臺北市立新民國民中學,臺北市,北投區,林泉里,新民路10號,學校,N,Y,老舊聚落,N,Y,Y,Y,N,中心里、中和里、中庸里、秀山里、林泉里、泉源里、開明里、智仁里、大屯里、湖山里、湖田里、文化里、中央里,205,1727.18,徐為紘,02-28979001#500,陳怡雲,02-28979001#100,,臺北市北投區林泉里新民路10號,121.512383,25.141117
SA112-0002,臺北市北投區逸仙國民小學,臺北市,北投區,中心里,新民路2號,學校,N,Y,老舊聚落,N,Y,Y,Y,N,中心里、林泉里、長安里、溫泉里、秀山里、中和里、稻香里、大屯里,166,665,黃介宏,02-28914537#130,林千瑜,02-28914537#888,,臺北市北投區中心里新民路2號,121.505193,25.138287
SA112-0003,臺北市立桃源國民中學,臺北市,北投區,一德里,中央北路四段48號,學校,Y,備用,N,N,Y,Y,Y,N,一德里、桃源里、稻香里、豐年里、文化里,55,220,蔡溪圳,02-28929633#241,陳昭薇,02-28929633#201,,臺北市北投區一德里中央北路四段48號,121.471697,25.132348
SA112-0004,臺北市北投區北投國民小學,臺北市,北投區,長安里,中央北路一段73號,學校,Y,備用,N,N,Y,Y,Y,N,中央里、大同里、長安里、溫泉里、清江里、林泉里,195,1300,謝運鵬,02-28912052#131,賴俊賢,02-28912052#161,,臺北市北投區長安里中央北路一段73號,121.500291,25.134188
SA112-0005,復興公園,臺北市,北投區,中心里,中和街200號,公園/綠地,N,Y,N,N,N,Y,N,Y,全區,3624,"14,495",黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市北投區中心里中和街200號,121.502396,25.139011
SA112-0006,北投區民活動中心(暫停用),臺北市,北投區,清江里,新市街30號6樓,活動中心,Y,備用,N,N,N,Y,Y,N,清江里、八仙里、溫泉里、奇岩里,90,520,方恩斌,02-28912105#365,方恩斌,02-28912105#365,北投區公所:預計113年拆除，俟重建後規劃活動中心以提供收容量能。本府回復:同意暫時解除收容任務，俟重建後規劃活動中心以提供收容量能。,臺北市北投區清江里新市街30號6樓,121.502735,25.132673
SA112-0007,臺北市北投運動中心,臺北市,北投區,吉利里,石牌路一段39巷100號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,吉利里、吉慶里、尊賢里,384,5057,楊子興,2820-2880#11,顏凡涵,02-2570-2330#6428,,臺北市北投區吉利里石牌路一段39巷100號,121.509647,25.116337
SA112-0008,臺北市北投區大屯國民小學,臺北市,北投區,大屯里,復興三路312號,學校,N,備用,N,N,Y,N,Y,N,大屯里,30,103,曾俊明,02-28914353#13,林世浩,02-28914353#10,,臺北市北投區大屯里復興三路312號,121.504276,25.154732
SA112-0009,臺北市立中正高級中學,臺北市,北投區,建民里,文林北路77號,學校,Y,備用,N,N,Y,Y,Y,N,建民里,109,1444,莊孟蓉,02-28234811#500,江惠真,02-28234811#100,,臺北市北投區建民里文林北路77號,121.519451,25.107292
SA112-0010,臺北市北投區文化國民小學,臺北市,北投區,文化里,文化三路1號,學校,Y,備用,N,N,Y,Y,Y,N,文化里、智仁里、中庸里、豐年里、秀山里、中和里,50,189,黃士嘉,02-28933828#6131,林瓊珠,02-28933828#6101,,臺北市北投區文化里文化三路1號,121.496675,25.137091
SA112-0011,臺北市北投區文林國民小學,臺北市,北投區,建民里,文林北路155號,學校,Y,備用,N,N,Y,Y,Y,N,建民里、石牌里、文林里、洲美里,300,1100,謝曉青,02-28234212#400,李孟柔,02-28234212#100,,臺北市北投區建民里文林北路155號,121.514734,25.10593
SA112-0012,臺北市立北投國民中學,臺北市,北投區,溫泉里,溫泉路62號,學校,N,備用,N,N,Y,Y,Y,N,清江里、溫泉里、長安里、大同里、奇岩里、中央里、八仙里、豐年里,380,1351.82,方素娥,02-28912091#400,陳澤民,02-28912091#100,,臺北市北投區溫泉里溫泉路62號,121.504276,25.134469
SA112-0013,臺北市北投區石牌國民小學,臺北市,北投區,吉利里,致遠二路80號,學校,Y,備用,N,N,Y,Y,Y,N,吉利里、吉慶里、永明里、榮光里、福興里、振華里、東華里、立農里、立賢里、裕民里、尊賢里,180,930,郭士豪,02-28227484#331,詹益正,02-28227484#188,,臺北市北投區吉利里致遠二路80號,121.511742,25.11569
SA112-0014,臺北市立石牌國民中學,臺北市,北投區,吉利里,石牌路一段139號,學校,Y,備用,N,N,Y,Y,Y,N,東華里、永明里、吉利里、吉慶里、立農里、立賢里、尊賢里、八仙里、振華里、榮光里、永和里、福興里、永欣里,400,1352,余智誠,02-28224682#250,黃桐良,02-28224682#211,,臺北市北投區吉利里石牌路一段139號,121.514179,25.115
SA112-0015,臺北市北投區立農國民小學,臺北市,北投區,立農里,立農街一段250號,學校,Y,備用,N,N,Y,Y,Y,N,立賢里、立農里、八仙里、東華里、尊賢里,31,150,歐鎮羽,02-28210702#300,李秋田,02-28210702#700,,臺北市北投區立農里立農街一段250號,121.505305,25.11947
SA112-0016,臺北市北投區明德國民小學,臺北市,北投區,榮華里,明德路190號,學校,N,備用,N,N,Y,Y,Y,N,榮華里、裕民里、振華里,767,760,王志豪,02-28229651#1300,塗振洋,02-28229651#1000,,臺北市北投區榮華里明德路190號,121.521796,25.112142
SA112-0017,臺北市立明德國民中學,臺北市,北投區,建民里,明德路50號,學校,Y,備用,N,N,Y,Y,Y,N,石牌里、文林里、榮華里、建民里、裕民里、振華里、榮光里、永和里、福興里、永欣里,88,877.9,梁曉芬,02-28232539#601,楊啓明,02-28232539#101,,臺北市北投區建民里明德路50號,121.518314,25.10756
SA112-0018,臺北市泉源實驗國民小學,臺北市,北投區,泉源里,東昇路34號,學校,N,備用,N,N,Y,Y,Y,N,泉源里,33,132,彭彥勳,02-28951258#141,游鴻池,02-28951258#111,,臺北市北投區泉源里東昇路34號,121.523144,25.146416
SA112-0019,臺北市北投區桃源國民小學,臺北市,北投區,桃源里,中央北路三段40巷45號,學校,Y,備用,N,N,Y,Y,Y,N,桃源里、稻香里,30,101.25,柯秋溢,02-28941208#131,張鍾榮,02-28941208#101,,臺北市北投區桃源里中央北路三段40巷45號,121.484511,25.139645
SA112-0020,台北市北投區清江國民小學,臺北市,北投區,奇岩里,公館路220號,學校,Y,備用,N,N,Y,Y,Y,N,奇岩里、八仙里、清江里,350,1443.18,李泰霖,02-28912764#300,林勝聰,02-28912764#111,,臺北市北投區奇岩里公館路220號,121.507589,25.126902
SA112-0021,臺北市立復興高級中學,臺北市,北投區,開明里,復興四路70號,學校,Y,備用,N,N,Y,Y,Y,N,大屯里、開明里,348,1108.89,孫俊彥,02-28914131#400,蔡明勳,02-28914131#100,,臺北市北投區開明里復興四路70號,121.501802,25.143705
SA112-0022,臺北市北投區湖山國民小學,臺北市,北投區,湖山里,湖底路11號,學校,N,備用,N,N,Y,Y,Y,N,湖山里、湖田里,30,109.38,高美莉,02-28610148#130,蔡雅芬,02-28610148#170,,臺北市北投區湖山里湖底路11號,121.535491,25.149986
SA112-0023,臺北市湖田實驗國民小學,臺北市,北投區,湖田里,竹子湖路17之2號,學校,N,備用,N,N,Y,Y,Y,N,湖田里,30,654,林昱慶,02-28616963#10,林映社,02-28616963#12,,臺北市北投區湖田里竹子湖路17之2號,121.53995,25.168313
SA112-0024,臺北市北投區義方國民小學,臺北市,北投區,泉源里,珠海路155號,學校,N,備用,N,N,Y,Y,Y,N,開明里、中庸里、大屯里、泉源里、中心里、林泉里,120,850,張家金,02-28917433#131,徐昀霖,02-28917433#101,,臺北市北投區泉源里珠海路155號,121.509271,25.142038
SA112-0025,臺北市北投區關渡國民小學,臺北市,北投區,一德里,中央北路四段581號,學校,Y,備用,N,N,Y,Y,Y,N,一德里、關渡里,110,144.7,莊淑芬,02-28912847#831,翁世盟,02-28912847#888,,臺北市北投區一德里中央北路四段581號,121.466842,25.126863
SA112-0026,臺北市立關渡國民中學,臺北市,北投區,關渡里,知行路212號,學校,Y,備用,N,N,Y,Y,Y,N,關渡里、八仙里、一德里,120,479.5,蕭宇廷,02-28581770#500,楊秀文,02-28581770#100,,臺北市北投區關渡里知行路212號,121.467354,25.119895
SA112-0027,國防大學政治作戰學院,臺北市,北投區,文化里,中央北路二段70號,營區,Y,備用,N,N,N,N,Y,N,文化里、豐年里(僅寒暑假可安置),584,3483,黃冠倫上尉,02-28925125,黃冠倫上尉,02-28925125,,臺北市北投區文化里中央北路二段70號,121.492876,25.138105
SA112-0028,北投一公園,臺北市,北投區,中心、林泉、長安、溫泉里,中山路、光明路所圍範圍,公園/綠地,N,Y,N,N,N,N,N,Y,全區,3461,12063,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市北投區中心、林泉、長安、溫泉里中山路、光明路所圍範圍,,
SA112-0029,北投二公園,臺北市,北投區,中心、林泉里,中山路5號附近,公園/綠地,N,Y,N,N,N,N,N,Y,林泉、中心、長安里,1083,12480,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市北投區中心、林泉里中山路5號附近,121.51073,25.137318
SA112-0030,大豐公園(暫停用),臺北市,北投區,清江、溫泉里,公館路13號旁,公園/綠地,Y,Y,N,N,N,Y,N,Y,清江、溫泉、奇岩、中央里,1075,12391,黃子銘股長,02-28832130,陳彥材主任,02-28832130,目前公園作為北投臨時市場使用，無公園功能，建議刪除。本府回復:俟回復公園使用後回任，同意暫時解除任務，本公園仍持續列管,臺北市北投區清江、溫泉里公館路13號旁,121.5024,25.13338
SA112-0031,七星公園,臺北市,北投區,長安里,光明路、中山路交叉口(新北投捷運站南側),公園/綠地,N,Y,N,N,N,N,N,Y,全區,1046,12056,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市北投區長安里光明路、中山路交叉口(新北投捷運站南側),,
SA112-0032,石牌公園,臺北市,北投區,吉利、尊賢里,臺北市北投區石牌路1段39巷內,公園/綠地,Y,Y,N,N,N,N,N,Y,吉利、吉慶、福興、尊賢、榮光,2047,23582,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市北投區石牌路1段39巷內,121.515958,25.116643
SA112-0033,立農公園,臺北市,北投區,立農里,承德路7段、立農街1段22巷2弄旁,公園/綠地,Y,Y,N,N,N,N,N,Y,立農、立賢、東華、八仙里,1547,17822,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市北投區立農里承德路7段、立農街1段22巷2弄旁,,
SA112-0034,振興公園,臺北市,北投區,榮華里,天母西路、磺溪交叉口,公園/綠地,N,Y,N,N,N,N,N,Y,榮華、永和、永欣、裕民、永明、振華、建民、石牌、文林、洲美里,950,10950,黃子銘股長,02-28832130,陳彥材主任,02-28832130,,臺北市北投區榮華里天母西路、磺溪交叉口,121.52081,25.110683
