serialnumber,provide_contain,provide_shelter,provide_goods,no,countycode,name,district,areacode,village,address,floor,service_village,contact_person,contact_cellphone,suit_for_weak,person,floorspacebuildingothers,floorspacebuildingfactory,suit_for_flood,suit_for_mudflow,suit_for_eqrthquake,suit_for_tsunami,standing_shelter,longitude,latitude
118,是,是,是,SF231-0001 ,65000,大豐社福館,新店區,65000060,大豐里,新北市新店區民族路110號,5樓禮堂,國豐里、明德里、大豐里、大同里、江陵里、寶興里、寶安里、信義里、忠孝里、大鵬里、頂城里、下城里、永安里、中興里、新生里、新德里、張北里、五峯里、新安里、忠誠里、中正里、中華里、仁愛里、百忍里、百和里、福德里、百福里、福民里、中山里、和平里、中央里、安和里、吉祥里、寶福里、小城里、香坡里、建國里、復興里、美城里、安昌里、長春里、新和里、永平里,謝麗玉,920080487.0,是,1540.9,6163.67,0.0,是,是,是,是,是,121.537558,24.976931
119,否,是,否,SF231-0002 ,65000,文中廣明市民活動中心,新店區,65000060,文中里,新北市新店區北宜路1段39巷32號,1樓,太平里、美潭里、員潭里、雙坑里、新店里、張南里、國校里、文中里、廣明里、文明里、中興里,張金富,937014321.0,是,45.1,180.66,0.0,是,是,是,是,否,121.547677,24.952092
120,是,是,是,SF231-0003 ,65000,青潭國小,新店區,65000060,美潭里,新北市新店區北宜路2段80號,5樓禮堂,美潭里、員潭里、雙坑里、粗坑里、直潭里、青潭里、文中里、屈尺里,總務主任吳政倫,918479935.0,否,564.0,256,4000.0,是,是,是,否,是,121.547584,24.951865
121,是,是,是,SF231-0004,65000,龜山市民活動中心,新店區,65000060,龜山里,新北市新店區新烏路3段136號,2樓,屈尺里、龜山里、廣興里、直潭里,張金富,937014321.0,是,133.7,535.029,0.0,是,是,是,是,是,121.547415,24.916761
122,是,是,否,SF231-0005,65000,雙城市民活動中心,新店區,65000060,雙城里,新北市新店區安康路3段2號5樓,5樓,雙城里、吉祥里、香坡里,張金富,937014321.0,是,132.4,529.66,0.0,是,是,是,是,否,121.533914,24.960163
123,否,是,是,SF231-0007,65000,康橋高中,新店區,65000060,華城里,新北市新店區華城路800號,活動中心3樓體育館,塗潭里、華城里,總務主任張智能,963391980.0,否,1312.5,1500,7500.0,是,是,是,是,否,121.4978,24.910948
124,否,是,否,SF231-0008 ,65000,新店高中,新店區,65000060,福民里,新北市新店區中央路93號,活動中心1樓,福民里、新生里、中山里、中央里、百福里、和平里、頂城里、中正里,總務主任陳正昌,912257504.0,否,1271.0,1200,7768.0,是,是,是,否,否,121.531806,24.975599
125,否,是,否,SF231-0009,65000,崇光高中,新店區,65000060,中正里,新北市新店區三民路18號,主顧樓3樓禮堂,中正里、中華里、仁愛里、百忍里、福德里、福民里,總務主任張佳裕,911236433.0,否,400.2,526,2150.0,是,是,是,是,否,121.53907,24.97177
126,否,是,否,SF231-0010,65000,及人中學,新店區,65000060,柴埕里,新北市新店區安興路1號,科學大樓2樓展演廳,柴埕里、安和里,總務主任張慧如,958677599.0,否,2749.2,340,21314.0,是,是,是,否,否,121.513557,24.96796
127,否,是,否,SF231-0011,65000,安康高中,新店區,65000060,柴埕里,新北市新店區安興路25號,游藝樓地下室,下城里、柴埕里、永安里、安和里、新和里、永平里、公崙里、德安里,總務主任蔡易仲,932012173.0,否,730.8,1854,2139.0,是,是,是,否,否,121.515384,24.97001
128,否,是,否,SF231-0012 ,65000,耕莘健康管理專科學校,新店區,65000060,百和里,新北市新店區民族路112號,聖母樓地下樓,江陵里、中華里、仁愛里、百忍里、百和里、福德里、百福里、中央里、建國里,許朝昇,922679975.0,否,87.1,348.6,0.0,是,是,是,否,否,121.53548,24.976146
129,否,是,否,SF231-0013  ,65000,景文科技大學,新店區,65000060,公崙里,新北市新店區安忠路99號,商館樓地下1樓,公崙里、安昌里、柴埕里,總務長黃幸玲,,否,1855.8,523.26,13800.0,是,是,是,否,否,121.508976,24.950661
130,否,是,否,SF231-0014,65000,南強工商,新店區,65000060,寶興里,新北市新店區文化路42號,教學大樓1-4樓,寶興里、寶安里、信義里、新安里、寶福里,總務主任蕭傳元,939086994.0,否,715.0,1802,2116.0,是,是,是,否,否,121.545206,24.981195
131,否,是,否,SF231-0016 ,65000,能仁家商,新店區,65000060,文中里,新北市新店區文中路53巷10號,白聖大樓活動中心1樓,張南里、廣明里、文明里,校長洪志旻,918451541.0,否,820.1,1900,2761.0,是,是,是,否,否,121.540431,24.956918
132,否,是,否,SF231-0017,65000,莊敬高職,新店區,65000060,復興里,新北市新店區民生路45號,活動中心,江陵里、寶安里、忠孝里、大鵬里、中山里、和平里、復興里,校長林淑貴,912881228.0,否,55.0,220,0.0,是,是,是,否,否,121.532237,24.985754
133,否,是,否,SF231-0018,65000,中正國小,新店區,65000060,中正里,新北市新店區三民路36號,自強樓地下室,國豐里、明德里、新生里、新德里、忠誠里　,事務組長楊郁文,975606917.0,否,788.0,270,5764.5,是,是,是,否,否,121.536639,24.971738
134,否,是,否,SF231-0019  ,65000,北新國小,新店區,65000060,新安里,新北市新店區寶橋路8號,綜合大樓地下1樓地下避難室,大豐里、大同里、張北里、五峯里、忠誠里　,總務主任洪珮華,936496576.0,否,1111.0,2001,4890.0,是,是,是,否,否,121.543895,24.973708
135,否,是,否,SF231-0020,65000,大豐國小,新店區,65000060,大豐里,新北市新店區民族路108號,活動中心,國豐里、明德里、大豐里、大同里、寶興里、信義里、忠孝里、大鵬里、百和里、建國里、復興里,何文雀,952999254.0,否,3416.0,6164,15000.0,是,是,是,否,否,121.538192,24.977579
136,否,是,否,SF231-0021,65000,安坑國小,新店區,65000060,公崙里,新北市新店區安忠路36號 ,仁愛樓地下室,下城里、公崙里、德安里、日興里、玫瑰里、明城里、小城里、香坡里、安昌里、達觀里,總務主任張晏山,929007568.0,否,618.2,873,3200.0,是,是,是,否,否,121.514157,24.961301
137,是,是,是,SF231-0022,65000,屈尺國小,新店區,65000060,屈尺里,新北市新店區屈尺路55號,春耕樓1樓活動中心,粗坑里、屈尺里、龜山里、廣興里　,校長林錫恩,928365192.0,否,588.2,353,4000.0,是,是,是,否,否,121.546149,24.922512
138,否,是,否,SF231-0023,65000,屈尺國小廣興分校,新店區,65000060,廣興里,新北市新店區廣興路57號,廣興樓,廣興里,分校主任莊淑萍,917224106.0,否,37.5,150,0.0,是,是,是,否,否,121.539626,24.912533
139,否,是,否,SF231-0024,65000,新和國小,新店區,65000060,永安里,新北市新店區安和路3段100號,健康樓地下室小禮堂,永安里、新和里、永平里,總務主任王郁琳,981685252.0,否,570.0,315,3931.0,是,是,是,否,否,121.516634,24.963929
140,否,是,否,SF231-0025,65000,新店國小,新店區,65000060,國校里,新北市新店區新店路2號,迺翁館1樓禮堂,新店里、國校里,總務主任林明瑜,911842382.0,否,1381.3,3172,4707.0,是,是,是,否,否,121.540227,24.95291
141,否,是,是,SF231-0026  ,65000,直潭國小,新店區,65000060,直潭里,新北市新店區直潭路92號,新意樓地下室森活館,太平里、塗潭里、粗坑里、直潭里、青潭里、美城里、華城里,校長吳瑞文,988539098.0,否,102.5,160,500.0,是,是,是,否,否,121.530824,24.937857
142,是,是,是,SF231-0027 ,65000,雙城國小,新店區,65000060,雙城里,新北市新店區安康路3段322號,吉祥樓1樓活動中心,雙城里、日興里、玫瑰里、明城里、吉祥里、小城里、香坡里、長春里、達觀里,總務主任陳致銘,933852134.0,否,367.5,720,1500.0,是,是,是,否,是,121.533914,24.960163
143,否,是,是,SF231-0028  ,65000,雙峰國小,新店區,65000060,雙坑里,新北市新店區北宜路3段66號,望峰樓3樓多功能教室,美潭里、員潭里、雙坑里,總務主任王昭權,988189738.0,否,286.4,351,1590.0,是,是,是,否,否,121.547714,24.952065
144,否,是,否,SF231-0029,65000,龜山國小,新店區,65000060,龜山里,新北市新店區新烏路3段99巷10號,教學樓2樓活動中心,龜山里,總務主任戴彰佑,926617239.0,否,28.3,47,133.0,是,是,是,否,否,121.547415,24.916761
145,否,是,否,SF231-0030,65000,五峰國中,新店區,65000060,五峯里,新北市新店區中興路1段253號,綜合大樓地下室,中興里、新德里、張北里、五峯里、長春里,總務主任曹常昱,919394823.0,否,667.5,500,4340.0,是,是,是,否,否,121.54384,24.965664
146,否,是,否,SF231-0031,65000,文山國中,新店區,65000060,文中里,新北市新店區文中路38號,綜合大樓體育館4樓,新店里、張南里、國校里、文中里、廣明里、文明里、太平里、頂城里、美城里,吳欣倫,919271145.0,否,772.3,862,4455.0,是,是,是,否,否,121.538812,24.956748
147,否,是,否,SF231-0032  ,65000,直潭派出所,新店區,65000060,塗潭里,新北市新店區直潭十街27號,2樓,直潭里、青潭里、塗潭里,陳秋元,,否,75.0,200,200.0,是,是,是,否,否,121.535517,24.941806
148,否,是,是,SF231-0035,65000,廣興里辦公處,新店區,65000060,廣興里,新北市新店區平廣路1段35巷3號,1樓,廣興里,吳進興,955777705.0,否,37.5,150,0.0,否,否,是,否,否,121.53711,24.908273
149,否,是,否,SF231-0036,65000,達觀國中小,新店區,65000060,德安里,新北市新店區僑信路1號,C棟5樓演藝廳,德安里、雙城里、玫瑰里、明城里、吉祥里、小城里、達觀里、日興里、安昌里,總務主任陳玟君,937836246.0,否,392.2,120,2898.0,是,是,否,否,否,121.50003,24.95388
150,否,是,否,SF231-0037,65000,太平防災公園,新店區,65000060,太平里,新北市新店區精忠路10-1號旁,草坪,太平里、美城里、頂城里、下城里、柴埕里、安和里、永安里、新和里、永平里、公崙里、安昌里、德安里、達觀里、明城里、小城里、雙城里、香坡里、日興里、玫瑰里、吉祥里、塗潭里、華城里、青潭里、員潭里、雙坑里、粗坑里、美潭里、屈尺里、龜山里、廣興里、直潭里,謝麗玉,920080487.0,否,1875.0,0,15000.0,是,是,是,否,否,121.532859,24.95915
151,否,是,是,SF231-0038,65000,十四張歷史公園,新店區,65000060,中山里,新北市新店區央北二路及啟文路交叉路口,草坪,新店里、張南里、國校里、文中里、新德里、廣明里、文明里、中興里、新生里、張北里、五峯里、長春里、新安里、忠誠里、中正里、中華里、仁愛里、建國里、百忍里、百和里、福德里、百福里、福民里、中山里、和平里、中央里、國豐里、明德里、大豐里、大同里、江陵里、復興里、寶興里、寶福里、寶安里、信義里、忠孝里、大鵬里,謝麗玉,920080487.0,否,502.0,0,4016.0,是,是,是,是,否,121.526787,24.979746
152,否,是,是,SF231-0039,65000,柴埕市民活動中心,新店區,65000060,柴埕里,新北市新店區安民街79號,6、7樓,柴埕里、安和里、下城里、公崙里、安昌里、德安里,張金富,937014321.0,是,360.625,1111,663.0,是,是,是,是,否,121.51657,24.967379
153,否,是,是,SF231-0040,65000,日興市民活動中心,新店區,65000060,日興里,新北市新店區安康路3段580號,3、4樓,日興里、香坡里、雙城里、德安里、玫瑰里、吉祥里,張金富,937014321.0,是,112.125,381,135.0,是,是,是,是,否,121.533914,24.960163
154,是,是,否,SF242-0001,65000,福壽市民活動中心,新莊區,65000050,信義里,新北市新莊區昌明街1號,活動中心1樓、2樓,和平里、幸福里、頭前里、福基里、昌明里、昌平里、化成里、信義里、仁義里、仁愛里、思賢里、思源里、自強里、自立里、自信里、福興里、昌隆里、昌信里,邱雋弘,958496393.0,是,120.0,480,0.0,是,是,是,是,是,121.457633,25.052214
155,是,是,否,SF242-0002,65000,新泰市民活動中心,新莊區,65000050,忠孝里,新北市新莊區建中街116巷3弄2號,活動中心1樓、2樓,立德里、立言里、海山里、全安里、榮和里、興漢里、文德里、文明里、文聖里、文衡里、全泰里、忠孝里,邱雋弘,958496393.0,是,250.0,1000,0.0,是,是,是,是,是,121.445586,25.036864
156,是,是,否,SF242-0003,65000,四維市民活動中心,新莊區,65000050,南港里,新北市新莊區四維路186巷2號,活動中心1樓、2樓、3樓,南港里、瓊林里、四維里、民本里、萬安里、營盤里、民安里、光華里、光明里、光正里、光和里、八德里、西盛里、丹鳳里、雙鳳里、和鳳里、富國里、國泰里、豐年里、福營里、龍鳳里、裕民里、祥鳳里、富民里、泰豐里、龍福里、成德里、民有里、龍安里,邱雋弘,958496393.0,是,300.0,1200,0.0,是,是,是,是,是,121.421825,25.021171
157,是,是,否,SF242-0004,65000,豐年市民活動中心,新莊區,65000050,泰豐里,新北市新莊區豐年街57號之5,活動中心1樓、2樓、3樓、4樓,瓊林里、全安里、營盤里、丹鳳里、雙鳳里、和鳳里、富國里、國泰里、豐年里、福營里、龍鳳里、裕民里、祥鳳里、富民里、泰豐里、龍福里,邱雋弘,958496393.0,否,100.0,400,0.0,是,是,是,是,是,121.446657,25.029873
158,是,是,否,SF242-0005,65000,瓊泰活動中心,新莊區,65000050,瓊林里,新北市新莊區瓊泰路85號,活動中心B1、1樓、2樓,海山里、瓊林里、營盤里、丹鳳里、雙鳳里、和鳳里、富國里、國泰里、豐年里、福營里、龍鳳里、裕民里,邱雋弘,958496393.0,否,100.0,400,0.0,否,是,是,是,是,121.44314,25.029352
159,是,是,是,SF242-0006,65000,牡丹心市民活動中心,新莊區,65000050,雙鳯里,新北市新莊區雙鳳路75號5樓,活動中心5樓、6樓,瓊林里、營盤里、丹鳳里、雙鳳里、合鳳里、富國里、國泰里、豐年里、福營里、龍鳳里、裕民里、祥鳳里、富民里、泰豐里、龍福里,邱雋弘,958496393.0,是,300.0,1200,0.0,是,是,否,是,是,121.414928,25.027664
160,是,是,否,SF242-0008,65000,全安市民活動中心,新莊區,65000050,全安里,新北市新莊區新莊路527號,活動中心1樓、2樓、3樓、4樓,海山里、全安里、榮和里、興漢里、文德里、文明里、文聖里、文衡里、全泰里、泰豐里、忠孝里,邱雋弘,958496393.0,是,200.0,800,0.0,是,是,是,是,是,121.447891,25.033328
161,是,是,否,SF242-0009,65000,新莊區公所,新莊區,65000050,興漢里,新北市新莊區中正路176號,10樓大禮堂、會議室、1樓,海山里.全安里.榮和里.興漢里.文德里.文明里.文聖里.文衡里.全泰里.忠孝里,顏稟倫,937893406.0,是,200.0,800,0.0,是,是,否,是,是,121.450558,25.035834
162,是,是,否,SF242-0010,65000,福營行政大樓,新莊區,65000050,四維里,新北市新莊區四維路9號,6樓大禮堂,瓊林里、營盤里、丹鳳里、雙鳳里、合鳳里、富國里、國泰里、豐年里、福營里、龍鳳里、裕民里、祥鳳里、富民里、泰豐里、龍福里,顏稟倫,937893406.0,是,200.0,800,0.0,是,是,是,是,是,121.423752,25.024296
163,是,是,否,SF242-0011,65000,裕民行政大樓,新莊區,65000050,裕民里,新北市新莊區裕民街136號,6樓禮堂,瓊林里、營盤里、丹鳳里、雙鳳里、和鳳里、富國里、國泰里、四維里、豐年里、福營里、龍鳳里、裕民里、祥鳳里、富民里、泰豐里、龍福里,顏稟倫,937893406.0,是,300.0,1200,0.0,是,是,是,是,是,121.41778,25.021885
164,是,是,否,SF242-0012,65000,輔仁大學,新莊區,65000050,營盤里,新北市新莊區中正路510號,中美堂1樓、運動場,營盤里、福營里、建安里,張耘齊,972321116.0,否,1544.0,5239,1885.0,否,是,是,是,否,121.435112,25.032953
165,是,是,否,SF242-0013,65000,新莊高中,新莊區,65000050,立基里,新北市新莊區中平路135號,活動中心1樓、圖書館3樓閱覽室、科教大樓韻律教室,立基里、中和里、中泰里、立志里、中信里、中宏里、中全里、立泰里、中平里、立廷里,吳立夫主任,921203172.0,是,933.0,2263.29,2944.0,是,是,是,是,否,121.444658,25.048184
166,是,是,否,SF242-0014,65000,丹鳳高中,新莊區,65000050,龍鳳里,新北市新莊區龍安路72號,翰海樓6樓、星光樓1樓、丹鼎樓5樓,民有里、光正里、光明里、成德里、龍安里、龍鳯里、民安里、裕民里、丹鳯里、雙鳳里、龍福里、祥鳳里,陳政佑主任,920033711.0,是,992.0,1542,4863.0,是,是,否,是,否,121.416169,25.021199
167,是,是,否,SF242-0015,65000,新莊國中,新莊區,65000050,榮和里,新北市新莊區中正路211號,學生活動中心1樓、綜合大樓1樓,榮和里、興漢里、全安里、文衡里、文德里、立人里、文聖里、泰豐里,戴岑熹主任,919611847.0,是,1150.0,1600,6000.0,是,是,是,是,否,121.452488,25.035939
168,是,是,否,SF242-0016,65000,新泰國中,新莊區,65000050,立泰里,新北市新莊區新泰路359號,活動中心(1樓),中華里、中和里、中誠里、中宏里、中全里、中泰里、立志里、立基里、立廷里、立言里、立泰里、思賢里、忠孝里、立德里、立功里、自立里、自強里,許智凱主任,918064112.0,是,466.0,1187,1365.0,是,是,是,是,否,121.444378,25.042595
169,是,是,否,SF242-0017,65000,福營國中,新莊區,65000050,萬安里,新北市新莊區富國路105號,行政大樓3樓第二會議室、行政大樓5樓第一會議室、至善樓3樓圖書館、4樓視聽教室,富民里、民安里、民全里、萬安里、後港里、西盛里、富國里、民本里、四維里、後德里、建安里、建福里、福營里、營盤里、南港里、瓊林里、成德里、龍安里、民有里、八德里,洪福明主任,918399264.0,否,319.0,425,1710.0,否,是,是,是,否,121.422511,25.025324
170,是,是,否,SF242-0018,65000,頭前國中,新莊區,65000050,和平里,新北市新莊區思源路485號,樂活館、至善樓、至美樓、至真樓、大勇樓、專科教室地下室及1樓、風雨操場,思源里、幸福里、昌平里、昌信里、昌隆里、仁愛里、仁義里、信義里、和平里、昌明里、昌信里、自信里、福基里、福興里、頭前里、化成里,何建中主任,920128873.0,是,339.0,756,1200.0,否,是,是,是,否,121.459484,25.055184
171,是,是,否,SF242-0019,65000,中平國中,新莊區,65000050,立廷里,新北市新莊區中平路385號,中平樓3樓、4樓,立廷里、中港里、中原里、中信里、中平里、中隆里,陳皇志主任,935490241.0,是,269.0,328,1500.0,是,是,是,是,否,121.444531,25.053756
172,是,是,否,SF242-0020,65000,新莊國小,新莊區,65000050,立人里,新北市新莊區中正路86號,孫鳳堂1樓、3樓、新采樓2樓,立人里、思源里、文衡里、文聖里、興漢里、榮和里、文德里、文明里、恆安里、思賢里、立德里、中美里,余素苓主任,939525120.0,是,1029.0,1249.6,5742.0,是,是,是,是,否,121.456423,25.036968
173,是,是,否,SF242-0021,65000,民安國小,新莊區,65000050,民全里,新北市新莊區民安路261號,和平樓2樓多功能藝廊,民安里、瓊林里、四維里、成德里、後港里、八德里、西盛里、民有里、後德里、建福里、民全里、光華里、光明里、光正里、光和里、建安里、民本里,劉美玲主任,937579028.0,否,1203.0,877,7875.0,否,是,是,是,否,121.427798,25.021633
174,是,是,否,SF242-0022,65000,國泰國小,新莊區,65000050,營盤里,新北市新莊區中正路386號,國泰樓多功能教室、日新樓B1、2-4樓,忠孝里、國泰里、海山里、福營里、營盤里,彭成君主任,922695002.0,是,577.0,285,4054.0,否,是,是,否,否,121.441712,25.034171
175,是,是,否,SF242-0023,65000,頭前國小,新莊區,65000050,頭前里,新北市新莊區化成路231號,千禧樓2樓大辦公室、4樓綜合教室,化成里、頭前里、福基里,黃琬婷主任,988185088.0,是,315.0,762,1000.0,是,是,是,是,否,121.466129,25.052926
176,是,是,否,SF242-0024,65000,中港國小,新莊區,65000050,立志里,新北市新莊區中港一街142號,第2棟東側地下室、第3棟東側及西側地下室,中泰里、立志里、立基里、立廷里、中宏里、中全里、中和里、中港里、立功里、中華里、立泰里、中誠里,王文政主任,978167272.0,否,564.0,1910,700.0,是,是,是,是,否,121.447166,25.04507
177,是,是,否,SF242-0025,65000,思賢國小,新莊區,65000050,自立里,新北市新莊區自立街229號,信義和平樓2樓圖書館、明禮樓2樓視聽教室,自立里、仁愛里、思賢里、自強里、仁義里、中美里、自信里、思源里、中泰里、中誠里、信義里、化成里、幸福里、中華里,薛國致主任,922129333.0,否,285.0,567,1156.0,否,是,是,是,否,121.456556,25.045562
178,是,是,否,SF242-0026,65000,丹鳳國小,新莊區,65000050,雙鳳里,新北市新莊區新北大道七段437號,勵學樓地下1樓、敦品樓地下1樓、至善樓地下1樓,雙鳳里、富國里、丹鳯里、合鳳里、龍鳳里、龍福里、祥鳳里,吳駿勇主任 ,985846654.0,是,390.0,1022,1080.0,是,是,否,是,否,121.413815,25.024184
179,是,是,否,SF242-0027,65000,豐年國小,新莊區,65000050,國泰里,新北市新莊區瓊泰路116號,活動中心1、2樓、平安樓4樓視聽教室,國泰里、海山里、豐年里、泰豐里、瓊林里、全安里,蔡蓓詩主任,932345248.0,否,678.0,517.9245283019,4399.0,是,是,是,是,否,121.443332,25.030931
180,是,是,否,SF242-0028,65000,光華國小,新莊區,65000050,光明里,新北市新莊區龍安路452號,八德樓6樓、地下室,光華里、光明里、民安里、民本里、瓊林里、光和里、光正里、光榮里、成德里、民全里、民有里、西盛里,黃勺珍主任,963061522.0,是,1015.0,2400,3325.0,否,是,是,是,否,121.425204,25.017902
181,是,是,否,SF242-0029,65000,榮富國小,新莊區,65000050,中平里,新北市新莊區中和街193號,行政大樓2樓會議室、迎曦樓四樓簡易多功能活動中心、行政大樓5樓視聽教室,中信里、中平里、中港里、中隆里、中原里、中宏里、中全里,何姿香主任,931864545.0,否,484.0,736,2400.0,是,是,是,是,否,121.447398,25.051432
182,是,是,否,SF242-0030,65000,新泰國小,新莊區,65000050,忠孝里,新北市新莊區公園一路91號,新泰樓5樓視聽教室、科技樓-大辦公室,忠孝里、立言里、立德里、立功里、營盤里、全泰里,陳文斌主任,932921284.0,是,1797.0,4417,5550.0,是,是,是,是,否,121.443787,25.037841
183,是,是,否,SF242-0031,65000,裕民國小,新莊區,65000050,裕民里,新北市新莊區裕民街123號,教學大樓1樓、集賢樓活動中心,裕民里、南港里、合鳳里、龍鳳里、萬安里、龍安里、龍福里,蕭琳臻主任,952703133.0,否,632.0,1331,2400.0,是,是,否,是,否,121.417818,25.021278
184,是,是,否,SF242-0032,65000,昌隆國小,新莊區,65000050,昌隆里,新北市新莊區昌隆街63號,迎曦樓151、152、153教室,幸福里、信義里、和平里、中誠里、昌明里、昌信里、中港里、仁愛里、仁義里、自強里、自立里、自信里、昌隆里,康志偉主任,921884783.0,否,520.0,232,3702.0,否,是,是,是,否,121.45505,25.051019
185,是,是,否,SF242-0033,65000,興化國小,新莊區,65000050,福興里,新北市新莊區五工二路50巷2號,教學大樓3樓科任教室、4樓大禮堂、1樓家長會辦公室,福基里、福興里,吳喜信主任,931061073.0,是,599.0,360,4075.0,是,是,是,是,否,121.461637,25.065916
186,是,是,否,SF242-0034,65000,中信國小,新莊區,65000050,中原里,新北市新莊區中信街168號,慈愛樓1樓、勵學樓1樓、靜思樓1樓,中原里、中信里、中榮里、中隆里、昌平里、中平里,陳中淋主任,939878607.0,是,1084.0,770,7137.0,否,是,是,是,否,121.447991,25.056275
187,是,是,否,SF242-0035,65000,昌平國小,新莊區,65000050,昌平里,新北市新莊區昌平街200號,積極樓B1體能教室及舞蹈教室、關懷樓B1桌球室、負責樓B1知動教室,昌平里、昌信里、昌明里、福基里、和平里、中隆里、福興里、昌隆里,馮嬿霓主任,927680417.0,是,535.0,540,3200.0,是,是,是,是,否,121.455581,25.056404
188,是,是,否,SF242-0036,65000,恆毅高級中學,新莊區,65000050,立人里,新北市新莊區中正路108號,活動中心1樓,恆安里、立人里、文德里.榮和里.中美里.興漢里.文明里,涂菁美主任,975398386.0,是,648.0,1696,1797.0,是,是,是,是,否,121.417351,25.022665
189,是,是,是,SF242-0037,65000,新莊體育場(防災公園),新莊區,65000050,立德里,新北市新莊區公園路11號,公園,立德里、中美里、立人里、榮和里、興漢里、文聖里、全泰里、立言里、立泰里、立功里、中和里、中華里,鄒宜辰,,是,8450.0,0,67600.0,是,是,是,是,是,121.448185,25.039698
190,是,是,是,SF242-0038,65000,頭前運動公園(防災公園),新莊區,65000050,頭前里,新北市新莊區頭前路、頭前街口,公園,頭前里、化成里、信義里、和平里、福基里,吳金純,920672079.0,是,133.0,0,1069.0,是,是,是,是,是,121.462074,25.05252
191,是,是,否,SF236-0001,65000,清和市民 活動中心,土城區,65000130,清和里,新北市土城區青雲路368號1樓,活動中心1樓,清和里、清化里,劉友坤 ,922824243.0,是,30.0,120,0.0,是,是,是,否,否,121.458661,24.973802
192,是,是,否,SF236-0002,65000,清化市民 活動中心,土城區,65000130,清和里,新北市土城區青雲路368號4樓,活動中心4樓,清化里、清和里,劉友坤 ,922824243.0,否,30.0,120,0.0,是,是,否,否,否,121.458661,24.973802
193,是,是,否,SF236-0003,65000,青雲、柑林市民活動中心,土城區,65000130,青雲里,新北市土城區清水路141巷18號B1,活動中心B1,青雲里、柑林里,劉友坤 ,922824243.0,否,50.0,200,0.0,否,是,否,否,否,121.458501,24.98237
194,是,是,否,SF236-0004,65000,青山市民 活動中心,土城區,65000130,青山里,新北市土城區明德路1段74之1號1樓,活動中心1樓,青山里、清水里、清溪里、永富里,劉友坤 ,922824243.0,是,18.0,72,0.0,是,是,是,否,否,121.464836,24.985918
195,是,是,否,SF236-0005,65000,永富市民 活動中心,土城區,65000130,青山里,新北市土城區明德路1段74之1號2樓,活動中心2樓,清水里、永富里、青山里,劉友坤 ,922824243.0,否,25.0,100,0.0,是,是,否,否,否,121.464836,24.985918
196,是,是,是,SF236-0006,65000,廷寮市民 活動中心,土城區,65000130,廷寮里,新北市土城區永豐路240之1號,活動中心1樓,廷寮里、永豐里、金城里,劉友坤 ,922824243.0,是,80.0,320,0.0,是,是,是,是,是,121.467199,24.980803
197,是,是,否,SF236-0007,65000,清水高中,土城區,65000130,永富里,新北市土城區明德路1段72號,1.綜合體育館3樓2.體育館地下室3.至美樓地下室,永富里、永豐里、金城里、清水里、清和里、清化里、清溪里、峯廷里、平和里、廷寮里、延壽里、安和里、延吉里、延和里、青山里、延祿里,總務主任李均凱,920618469.0,是,2041.0,6367,3600.0,是,是,是,是,否,121.464836,24.985918
198,是,是,否,SF236-0008,65000,中正國中,土城區,65000130,青雲里,新北市土城區金城路2段247號,1.至善1樓編號136~139教室(4間教室)2.多功能活動中心-德馨樓4樓3.無,中正里、柑林里、青雲里,事務組長宋子龍,958102183.0,是,671.0,353,4670.0,是,是,是,是,否,121.464359,24.985777
199,是,是,否,SF236-0009,65000,安和國小,土城區,65000130,安和里,新北市土城區延和路23號,1.教學大樓5樓2.教學大樓4樓3.教學大樓3樓,安和里、延和里、延壽里、平和里、延祿里、峯廷里、延吉里,總務主任陳文慶,912833850.0,是,2293.0,8482,1385.0,是,是,是,是,否,121.464774,24.988807
200,是,是,否,SF236-0010,65000,清水國小,土城區,65000130,清溪里,新北市土城區金城路2段356號,1.至善樓地下室右側(下樓左轉)-學生活動區2.至善樓地下室左側(下樓右轉)-儲藏區3.語文故事屋-維揚樓5樓,清溪里、柑林里、永豐里、峯廷里、平和里、廷寮里、延壽里、安和里、青雲里、延吉里、延和里、金城里、延祿里、,事務組長蔣易珊,912853283.0,是,1010.0,903,6281.0,是,是,是,是,否,121.464359,24.985777
201,是,是,是,SF236-0011,65000,土城區公所,土城區,65000130,埤塘里,新北市土城區金城路1段101號,區公所禮堂7樓,埤塘里、土城里、員林里、員仁里、長風里、員福里,劉友坤 ,922824243.0,是,162.0,200,900.0,是,是,否,是,是,121.464166,24.986135
202,是,是,否,SF236-0012,65000,廣福市民 活動中心,土城區,65000130,廣福里,新北市土城區學府路1段99巷底1樓,活動中心1樓,"廣福里、埤林里
瑞興里、復興里
學成里、廣興里",劉友坤 ,922824243.0,是,50.0,200,0.0,是,是,是,否,否,121.449518,24.982162
203,是,是,否,SF236-0013,65000,廣興市民 活動中心,土城區,65000130,廣福里,新北市土城區學府路1段99巷底2樓,活動中心2樓,廣興里、廣福里,劉友坤 ,922824243.0,否,50.0,200,0.0,是,是,否,否,否,121.449518,24.982162
204,是,是,否,SF236-0014,65000,員林市民 活動中心,土城區,65000130,員林里,新北市土城區員林街15號1樓,活動中心1樓,"員林里、員福里
埤塘里、土城里
長風里、員信里",劉友坤 ,922824243.0,是,77.0,140,340.0,是,是,是,否,否,121.442984,24.978282
