收容所編號,名稱,縣市,鄉鎮,村里,門牌地址,類型,水災,震災,土石流,海嘯,救濟支站,無障礙設施,室內,室外,服務里別,容納人數,收容所面積（平方公尺）,聯絡人姓名,聯絡人連絡電話,管理人姓名,管理人連絡電話,備考,完整地址
SA105-0006,臺北市松山運動中心,臺北市,松山區,中正里,敦化北路1號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,美仁里、中正里、中華里、敦化里,180,1797,賴威志,02-6617-6789#218,楊孔仁,02-2570-2330#6429,,臺北市松山區中正里敦化北路1號
SA105-0007,臺北田徑場,臺北市,松山區,中正里,敦化北路3號,體育場館/運動中心,Y,備用,N,N,Y,N,N,Y,美仁里、中正里、中華里、敦化里、東勢里,440,1760,黄建涵,02-25702330#6541,黄建涵,02-25702330#6541,,臺北市松山區中正里敦化北路3號
SA105-0008,臺北體育館,臺北市,松山區,中正里,南京東路四段10號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,美仁里、中正里、中華里、敦化里、復建里、東勢里、復勢里,1000,4000,李坊勻,02-25702330#6552,李坊勻,02-25702330#6552,,臺北市松山區中正里南京東路四段10號
SA105-0009,臺北市立中山國民中學,臺北市,松山區,民有里,復興北路361巷7號,學校,Y,備用,N,N,Y,Y,Y,N,民有里、松基里、民福里,278,1110,蔡戊己,02-27126701#501,吳明峰,02-27126701#101,,臺北市松山區民有里復興北路361巷7號
SA105-0010,臺北市立中崙高級中學,臺北市,松山區,吉祥里,八德路四段101號,學校,Y,備用,N,N,Y,Y,Y,N,復建里、復勢里、東光里、吉祥里、新聚里、復盛里,300,1219.7,林雨潔,02-27535316#400,吳銘祥,02-27535316#100,,臺北市松山區吉祥里八德路四段101號
SA105-0036,臺北市立圖書館民生分館,臺北市,松山區,精忠里,臺北市松山區敦化北路199巷5號4、5樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,50,200,分館主任：林君諭,02-27138083,分館主任：林君諭,02-27138083,,臺北市松山區敦化北路199巷5號4、5樓
SA105-1011,臺北市立介壽國民中學,臺北市,松山區,介壽里,延壽街401號,學校,Y,備用,N,N,Y,Y,Y,N,介壽里、東榮里、東昌里、東勢里、龍田里、精忠里、復勢里、中華里,144,576,賴佳虹,02-27664496#500,陳建廷,02-27664496#288,,臺北市松山區介壽里延壽街401號
SA105-1012,臺北市松山區民族國民小學,臺北市,松山區,精忠里,民生東路四段97巷7號,學校,Y,備用,N,N,Y,Y,Y,N,精忠里、民有里、松基里、民福里,40,116,黃國榮,02-27124872#935,吳政哲,02-27124872#910,,臺北市松山區精忠里民生東路四段97巷7號
SA105-1013,臺北市立西松高級中學,臺北市,松山區,鵬程里,臺北市松山區健康路325巷7號,學校,N,備用,N,N,Y,Y,Y,N,安平里、自強里、鵬程里、東光里、吉祥里、新聚里、復盛里,300,1222,施柏豪,02-25286618#111,陳雅萍,02-25286618#101,活動中心2樓,臺北市松山區健康路325巷7號
SA105-1014,臺北市松山區西松國民小學,臺北市,松山區,東光里,三民路5號,學校,N,備用,N,N,Y,Y,Y,N,新聚里、安平里、吉祥里、東光里、復盛里、鵬程里,47,187.52,吳崇西,02-27609221#500,胡慧宜,02-27609221#100,,臺北市松山區東光里三民路5號
SA105-1015,臺北市松山區松山國民小學,臺北市,松山區,慈祐里,八德路四段746號,學校,N,備用,N,N,Y,Y,Y,N,慈祐里、新東里,95,1289.54,江欣穎,02-27672907#630,陳冠英,02-27672907#601,活動中心2樓,臺北市松山區慈祐里八德路四段746號
SA105-1016,臺北市松山區健康國民小學,臺北市,松山區,自強里,延壽街168號,學校,N,備用,N,N,Y,Y,Y,N,自強里、三民里、富泰里、鵬程里、介壽里、龍田里,150,594,江艾謙,02-25282814#131,張禎娟,02-25282814#100,,臺北市松山區自強里延壽街168號
SA105-1017,敦化國小,臺北市,松山區,中正里,敦化北路2號,學校,Y,備用,N,N,Y,Y,Y,N,美仁里、吉仁里、中崙里、敦化里、福成里、復源里、復建里、復勢里、中正里、松基里、中華里,56,900,駱奕穎,02-27414065#130,劉建男,02-27414065#160,活動中心3樓,臺北市松山區中正里敦化北路2號
SA105-1018,臺北市松山區民權國民小學,臺北市,松山區,三民里,民權東路四段200號,學校,Y,Y,N,N,Y,Y,Y,N,東榮里、三民里、富泰里、富錦里、新東里,80,588,劉昶讓,02-27652327#650,李承華,02-27652327#688,活動中心4樓,臺北市松山區三民里民權東路四段200號
SA105-1019,中正區民活動中心,臺北市,松山區,中正里,臺北市松山區長安東路2段229號11樓,活動中心,Y,N,N,N,Y,Y,Y,N,中華里、美仁里、中崙里、福成里、松基里,112,449.59,張元儒,02-87878787#815,張元儒,02-87878787#815,,臺北市松山區長安東路2段229號11樓
SA105-1020,民有區民活動中心,臺北市,松山區,民有里,臺北市松山區民權東路三段140巷15號4、5樓,活動中心,Y,N,N,N,Y,Y,Y,N,精忠里、松基里、民福里,196,955.38,張元儒,02-87878787#815,張元儒,02-87878787#815,4樓禮堂124人；5樓自習室72人。,臺北市松山區民權東路三段140巷15號4、5樓
SA105-1021,自強區民活動中心,臺北市,松山區,自強里,臺北市松山區三民路35巷9號,活動中心,N,N,N,N,Y,Y,Y,N,鵬程里、龍田里、安平里、東光里、富泰里、三民里,68,307.44,張元儒,02-87878787#815,張元儒,02-87878787#815,,臺北市松山區三民路35巷9號
SA105-1022,慈祐區民活動中心,臺北市,松山區,慈祐里,臺北市松山區八德路4段568號,活動中心,N,N,N,N,Y,Y,Y,N,新聚里、新東里,55,218.18,張元儒,02-87878787#815,張元儒,02-87878787#815,,臺北市松山區八德路4段568號
SA105-1023,鵬程區民活動中心,臺北市,松山區,鵬程里,臺北市松山區健康路399號3樓,活動中心,N,備用,N,N,Y,Y,Y,N,新東里、自強里、安平里、富泰里,161,647.94,張元儒,02-87878787#815,張元儒,02-87878787#815,111年完成大樓耐震補強工程施作。,臺北市松山區健康路399號3樓
SA105-1024,南京復興站,臺北市,松山區,中正里,臺北市松山區南京東路3段253號,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1270,5083,臺北捷運公司值班站長,25505600#5182,臺北捷運公司值班站長,25505600#5182,,臺北市松山區南京東路3段253號
SA105-1025,臺北市市場處嘟嘟房敦北頂好站停車場,臺北市,松山區,精忠里,臺北市松山區敦化北路199巷5號地下1樓,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,253,1014.96,市場處輔導科蔡如茵,02-2550-5220#5006,市場處輔導科蔡如茵,02-2550-5220#5006,民生超市,臺北市松山區敦化北路199巷5號地下1樓
SA105-1026,臺北市立圖書館三民分館,臺北市,松山區,三民里,臺北市松山區民生東路五段163-1號5、6樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,70,280,分館主任：黃采瑜,02-27600408,分館主任：黃采瑜,02-27600408,,臺北市松山區民生東路五段163-1號5、6樓
SA105-1027,臺北市立圖書館中崙分館,臺北市,松山區,中正里,臺北市松山區長安東路二段229號7-10樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,37,148,分館主任：許淑莉,02-87736858,分館主任：許淑莉,02-87736858,,臺北市松山區長安東路二段229號7-10樓
SA105-1029,臺北市立圖書館松山分館(暫停用),臺北市,松山區,慈祐里,臺北市松山區八德路四段688號5-8樓,圖書館,N,N,N,N,Y,Y,Y,N,全區,俟搬遷後重新評估,俟搬遷後重新評估,分館主任：林佳穎,02-27531875,分館主任：林佳穎,02-27531875,圖書館:1.可收容人數不足30人，另即將安排建物拆除，建議撤除。2.尚待市府規劃後續搬遷位置。本府回復:同意貴分館暫時解除任務，俟規劃搬遷位置後回任收容所任務,臺北市松山區八德路四段688號5-8樓
SA105-1030,臺北市立圖書館啟明分館,臺北市,松山區,中華里,臺北市松山區敦化北路155巷76號,圖書館,Y,N,N,N,Y,Y,Y,N,全區,100,500,分館主任：陳建德,02-25148443,分館主任：陳建德,02-25148443,,臺北市松山區敦化北路155巷76號
SA105-1031,臺北市市場處龍城市場地下停車場,臺北市,松山區,龍田里,臺北市松山區光復北路190巷39號,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,879,3517.24,市場處市場科許舜傑,02-25505220#2117,市場處市場科許舜傑,02-25505220#2117,,臺北市松山區光復北路190巷39號
SA105-1032,民生公園,臺北市,松山區,介壽里,民生東路五段36巷4弄與8弄間.,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,1554,26250,謝榮倫,02-25850192#222,楊國瑜,02-25850192#201,,臺北市松山區介壽里民生東路五段36巷4弄與8弄間.
SA106-0001,臺北市民族實驗國中,臺北市,大安區,學府里,羅斯福路四段113巷13號,學校,N,備用,N,N,Y,Y,Y,N,古風里、古莊里、龍泉里、學府里、大學里、龍淵里、龍坡里、黎和里,139,558,魏秀恬,02-27322935#231,洪錫璿,02-27322935#201,,臺北市大安區學府里羅斯福路四段113巷13號
SA106-0002,臺北市大安區大安國民小學,臺北市,大安區,芳和里,臥龍街129號,學校,Y,備用,N,N,Y,Y,Y,N,黎和里、黎孝里、黎元里、芳和里、臥龍里、虎嘯里、臥龍里、臥龍里、學府里、黎和里,152,608,劉正山,02-27322332#831,連世驊,02-27322332#899,,臺北市大安區芳和里臥龍街129號
SA106-0003,臺北市立龍門國民中學,臺北市,大安區,龍門里,建國南路二段269號,學校,Y,Y,N,N,Y,Y,Y,N,龍門里、龍坡里、龍生里、新龍里、大學里、臥龍里、龍淵里、龍泉里,319,1277,江孟純,02-27330299#1411,洪國峰,02-27330299#1101,,臺北市大安區龍門里建國南路二段269號
SA106-0004,臺北市大安區幸安國民小學,臺北市,大安區,民炤里,仁愛路3段22號,學校,Y,Y,N,N,Y,Y,Y,N,民炤里、和安里、民輝里、龍圖里,183,733,許佳琪,02-27074191#3300,曾振富,02-27074191#3000,,臺北市大安區民炤里仁愛路3段22號
SA106-0005,大安森林公園,臺北市,大安區,龍門里,台北市大安區新生南路二段1號,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,37949,259354,陳煌耀,02-23032451,陳煌耀,02-23032451,,台北市大安區新生南路二段1號
SA106-0006,臺北市大安運動中心,臺北市,大安區,臥龍里,辛亥路三段55號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,龍淵、臥龍里,389,2789,蕭幼麟,02-2377-0300#168,林欣儀,02-2570-2330#6424,,臺北市大安區臥龍里辛亥路三段55號
SA106-0007,臺北市立大安高級工業職業學校,臺北市,大安區,龍圖里,復興南路2段52號,學校,Y,備用,N,N,Y,Y,Y,N,龍圖、仁慈、住安里,100,2035.38,詹宓錫,02-27091630#1401,楊益强,02-27091630#1001,,臺北市大安區龍圖里復興南路2段52號
SA106-0008,臺北市立大安國民中學,臺北市,大安區,龍雲里,臺北市大安區大安路二段63號,學校,N,備用,N,N,Y,Y,Y,N,住安里、義安里、通化里、群英里、群賢里、龍陣里、龍雲里、龍圖里、全安里、臨江里、法治里、龍生里,100,776,林佑忠,02-27557131#103  ,蔣佳良,02-27557131#168,,臺北市大安區大安路二段63號
SA106-0009,臺北市大安區仁愛國民小學,臺北市,大安區,敦安里,安和路一段60號,學校,N,備用,N,N,Y,Y,Y,N,光武里、建安里、建倫里、敦煌里、敦安里、通化里、通安里、德安里、仁慈里、義安里、仁愛里、光信里、車層里、通安里,350,490,周本師,02-27095010#401,林其賢,02-27095010#101,,臺北市大安區敦安里安和路一段60號
SA106-0010,臺北市立仁愛國民中學,臺北市,大安區,敦安里,仁愛路四段130號,學校,N,備用,N,N,Y,Y,Y,N,建安里、敦安里、德安里、敦煌里、建倫里、光信里、車層里、仁愛里、通安里、正聲里、華聲里、仁愛里、光武里,125,900,朱美銀,02-23255823#1168,周婉玲,02-23255823#1101,,臺北市大安區敦安里仁愛路四段130號
SA106-0011,臺北市大安區公館國民小學,臺北市,大安區,學府里,基隆路四段41巷68弄2號,學校,N,備用,N,N,Y,Y,Y,N,學府里、學府里、龍淵里,50,108,章宏智,02-27351734#230,廖傑隆,02-27351734#200,,臺北市大安區學府里基隆路四段41巷68弄2號
SA106-0012,臺北市大安區古亭國民小學,臺北市,大安區,古風里,羅斯福路三段201號,學校,N,備用,N,N,Y,Y,Y,N,古風里、古莊里、大學里、龍泉里,200,840,蔡逸珮,02-23639795#831,邢小萍,02-23639795#888,,臺北市大安區古風里羅斯福路三段201號
SA106-0013,臺北市立和平高級中學,臺北市,大安區,芳和里,臥龍街100號,學校,Y,備用,N,N,Y,Y,Y,N,虎嘯里、臥龍里、芳和里、全安里、法治里、臨江里、龍淵里,300,2360,施振裕,27324300#150,温宥基,27324300#101,,臺北市大安區芳和里臥龍街100號
SA106-0014,臺北市芳和實驗中學,臺北市,大安區,芳和里,臥龍街170號,學校,N,備用,N,N,Y,Y,Y,N,黎和里、黎孝里、黎元里、芳和里、學府里,50,150,黃清勇,02-27321961#501,黃琬茹,02-27321961#101,,臺北市大安區芳和里臥龍街170號
SA106-0015,臺北市大安區金華國民小學,臺北市,大安區,永康里,愛國東路79巷11號,學校,N,備用,N,N,Y,Y,Y,N,光明里、永康里、錦泰里、錦華里、錦安里、龍安里、福住里,84,710,張寬讚,02-23917402#830,鄭盛元,02-23917402#800,,臺北市大安區永康里愛國東路79巷11號
SA106-0016,臺北市立金華國民中學,臺北市,大安區,福住里,新生南路二段32號,學校,N,備用,N,N,Y,Y,Y,N,永康里、福住里、龍安里、錦安里、龍圖里、民炤里、龍坡里、龍泉里、古風里、古莊里、龍淵里、新龍里、龍生里,300,1433,許珮甄,02-33931799#501,黃啟清,02-33931799#101,,臺北市大安區福住里新生南路二段32號
SA106-0017,臺北市大安區建安國民小學,臺北市,大安區,龍雲里,大安路二段99號,學校,N,備用,N,N,Y,Y,Y,N,群英里、群賢里、全安里、法治里、龍陣里、龍雲里、住安里、義安里、治里、新龍里、龍圖里、臥龍里,30,150,賈維嫆,02-27077119#821,蕭如君,02-27077119#820,,臺北市大安區龍雲里大安路二段99號
SA106-0018,臺北市大安區新生國民小學,臺北市,大安區,龍安里,新生南路二段36號,學校,Y,備用,N,N,Y,Y,Y,N,福住里、錦安里、龍安里,414,912.6,魏雅彤,02-23913122#231,李雪鳳,02-23913122#201,,臺北市大安區龍安里新生南路二段36號
SA106-0019,臺北市大安區銘傳國民小學,臺北市,大安區,學府里,羅斯褔路四段21號,學校,N,備用,N,N,Y,Y,Y,N,學府里,161,760,吳家蓁,02-23639815#16,卓家意,02-23639815#10,,臺北市大安區學府里羅斯褔路四段21號
SA106-0020,台北市大安區龍安國民小學,臺北市,大安區,龍門里,新生南路三段33號,學校,Y,備用,N,N,Y,Y,Y,N,龍坡里、大學里、龍生里、龍門里、龍泉里、古莊里、龍安里、新龍里、臥龍里,31,251,張芳旗,02-23632077#730,鄭福來,02-23632077#766,,臺北市大安區龍門里新生南路三段33號
SA106-0021,臺北市立懷生國民中學,臺北市,大安區,義村里,忠孝東路三段248巷30號,學校,Y,備用,N,N,Y,Y,Y,N,誠安里、民輝里、昌隆里、義村里、民炤里、正聲里、華聲里、仁愛里、光武里,167,870,徐蓓貞,02-27215078#330,陳政翊,02-27215078#888,,臺北市大安區義村里忠孝東路三段248巷30號
SA106-0022,大安站,臺北市,大安區,龍圖里,臺北市大安區信義路3段180號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,969,3876,臺北捷運公司值班站長,25505600#4082,臺北捷運公司值班站長,25505600#4082,,臺北市大安區信義路3段180號B1
SA106-0023,臺北市市場處安東市場地下停車場,臺北市,大安區,龍陣里,臺北市大安區瑞安街75號,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,386,1545.81,市場處市場科孟科廷,02-2550-5220#2114,市場處市場科孟科廷,02-2550-5220#2114,,臺北市大安區瑞安街75號
SA106-0024,忠孝復興站,臺北市,大安區,光武里,臺北市大安區忠孝東路4段47號,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1420,5682,臺北捷運公司值班站長,25505600#6102,臺北捷運公司值班站長,25505600#6102,,臺北市大安區忠孝東路4段47號
SA106-0025,忠孝新生站,臺北市,大安區,民輝里,臺北市大安區新生南路1段67號,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,2803,11212,臺北捷運公司值班站長,25505600#6092,臺北捷運公司值班站長,25505600#6092,,臺北市大安區新生南路1段67號
SA106-0026,東門站,臺北市,大安區,永康里,臺北市大安區信義路2段166號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1327,5307,臺北捷運公司值班站長,25505600#7142,臺北捷運公司值班站長,25505600#7142,,臺北市大安區信義路2段166號B1
SA106-0027,東區地下街,臺北市,大安區,光武里,臺北市大安路一段77號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,2625,13850,臺北捷運公司領班,2550-5600#3204,臺北捷運公司領班,2550-5600#3204,,臺北市大安區光武里臺北市大安路一段77號B1
SA106-0028,臺北市市場處嘟嘟房大安全聯站停車場,臺北市,大安區,車層里,臺北市大安區市民大道4段190號地下一樓,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,237,948.3,市場處輔導科葉綺文,02-2550-5220#5020,市場處輔導科葉綺文,02-2550-5220#5020,延吉超市,臺北市大安區市民大道4段190號地下一樓
SA106-0029,臺北市市場處榮帝科技全聯大安北師店停車場,臺北市,大安區,富民里,台北市大安區和平東路2段311巷29號地下1樓,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,76,306.54,市場處輔導科紀金村,02-2550-5220#5010,市場處輔導科紀金村,02-2550-5220#5010,成功超市,台北市大安區和平東路2段311巷29號地下1樓
SA106-0030,臺北市立圖書館道藩分館,臺北市,大安區,臥龍里,臺北市大安區辛亥路三段11號3樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,32,1177.91,分館主任：許韻如,02-27334031,分館主任：許韻如,02-27334031,,臺北市大安區辛亥路三段11號3樓
SA106-0031,臺北市立圖書館總館,臺北市,大安區,新龍里,臺北市大安區建國南路二段125號,圖書館,N,N,N,N,Y,Y,Y,N,全區,70,280,秘書室主任：徐琬琳,02-27552823,秘書室主任：徐琬琳,02-27552823,,臺北市大安區建國南路二段125號
SA106-0032,臺北市市場處錦安市場地下停車場,臺北市,大安區,錦安里,臺北市大安區永康街60號,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,138,453.52,市場處市場科張泓皓,02-2550-5220#2139,市場處市場科張泓皓,02-2550-5220#2139,,臺北市大安區永康街60號
SA108-0001,臺北市立龍山國民中學,臺北市,萬華區,富福里,南寧路46號,學校,Y,備用,N,N,Y,Y,Y,N,仁德里、西門里、新起里、福音里、富福里、富民里、菜園里、青山里,265,1060,楊炳煌,02-23362789#500,江幸真,02-23362789#100,,臺北市萬華區富福里南寧路46號
SA108-0002,臺北市萬華區雙園國民小學,臺北市,萬華區,雙園里,莒光路315號,學校,Y,備用,N,N,Y,Y,Y,N,雙園里、頂碩里,123,810,李映綺,02-23061893#131,陳顯榮,02-23061893#220,,臺北市萬華區雙園里莒光路315號
SA108-0003,臺北市萬華區新和國民小學,臺北市,萬華區,新安里,西藏路125巷31號,學校,N,Y,N,N,N,Y,Y,N,新忠里、日祥里、新安里、新和里、忠貞里、凌霄里、騰雲里,79,600,黎紹誠,02-23038298#1401,陳弘偉,02-23038298#1100,,臺北市萬華區新安里西藏路125巷31號
SA108-0004,青年公園,臺北市,萬華區,騰雲里,水源路199號,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,31449,246958,陳煌耀,02-23032451,陳煌耀,02-23032451,,臺北市萬華區騰雲里水源路199號
SA108-0005,臺北市萬華運動中心,臺北市,萬華區,福星里,西寧南路6之1號,體育場館/運動中心,N,備用,N,N,Y,N,Y,N,福星里、萬壽里、西門里,226,8584,賴威志,02-23759900#608,顏凡涵,02-2570-2330#6428,,臺北市萬華區福星里西寧南路6之1號
SA108-0006,青年公園棒球場,臺北市,萬華區,騰雲里,台北市萬華區水源路199號,體育場館/運動中心,Y,備用,N,N,N,N,N,Y,全區,60,200.82,李仲涵,(02)25702330,李仲涵,(02)25702330,,台北市萬華區水源路199號
SA108-0007,臺北市立大理高級中學,臺北市,萬華區,綠堤里,長順街２號,學校,Y,備用,N,N,Y,Y,Y,N,柳鄉里、華江里、綠堤里、糖廍里、菜園里、青山里,300,1820,徐淑玲,02-23026959#142,楊廣銓,02-23026959#111,,臺北市萬華區綠堤里長順街２號
SA108-0008,臺北市萬華區大理國民小學,臺北市,萬華區,綠堤里,艋舺大道389號,學校,Y,備用,N,N,Y,N,Y,N,糖部里、綠堤里、和德里、和平里,80,200,曾韻靜,02-23064311#1400,楊聖哲,02-23064311#1100,,臺北市萬華區綠堤里艋舺大道389號
SA108-0009,臺北市萬華區老松國民小學,臺北市,萬華區,福音里,桂林路64號,學校,Y,備用,N,N,Y,Y,Y,N,福音里、仁德里、菜園里、新起里、富民里、富福里,231,924,周明毅,02-23361266#130,黎季昊,02-23361266#100,,臺北市萬華區福音里桂林路64號
SA108-0010,臺北市萬華區西門國民小學,臺北市,萬華區,西門里,成都路98號,學校,Y,備用,N,N,Y,Y,Y,N,西門里、萬壽里、菜園里、新起里,149,688,古文勝,02-23113519#1131,陳治遠,02-23113519#1202,,臺北市萬華區西門里成都路98號
SA108-0011,臺北市萬華區西園國民小學,臺北市,萬華區,日善里,東園街73巷65號,學校,Y,備用,N,N,Y,Y,Y,N,日善里、忠德里、錦德里、孝德里、全德里,203,812,蔡文欽,02-23030257#125,張勝順,02-23030257#666,,臺北市萬華區日善里東園街73巷65號
SA108-0012,臺北市立華江高級中學,臺北市,萬華區,日善里,西藏路213號,學校,Y,備用,N,N,Y,Y,Y,N,日善里、忠德里,300,1824,張瑋哲,02-23019946#141,張鳴鳳,02-23019946#101,,臺北市萬華區日善里西藏路213號
SA108-0013,臺北市萬華區華江國民小學,臺北市,萬華區,華江里,環河南路二段250巷42弄2號,學校,Y,備用,N,N,Y,Y,Y,N,華江里,107,1063.25,莊琬婷,02-23064352#130,紀力仁,02-23064352#100,,臺北市萬華區華江里環河南路二段250巷42弄2號
SA108-0014,臺北市萬華區萬大國民小學,臺北市,萬華區,全德里,萬大路346號,學校,Y,備用,N,N,Y,Y,Y,N,壽德里、興德里、全德里、忠貞里、日祥里、騰雲里、凌雲里,60,660,朱玫勳,02-23037654#312,吳建億,02-23037654#168,,臺北市萬華區全德里萬大路346號
SA108-0015,臺北市立萬華國民中學,臺北市,萬華區,日善里,西藏路201號,學校,Y,備用,N,N,Y,Y,Y,N,壽德里、忠德里、保德里、興德里、日善里、全德里、頂碩里、新忠里、新安里、忠貞里、日祥里、雙園里、新和里、日祥里、華中里,50,1350,陳靜茹,02-23394567#130,洪志成,02-23394567#168,,臺北市萬華區日善里西藏路201號
SA108-0016,臺北市萬華區福星國民小學,臺北市,萬華區,福星里,中華路一段66號,學校,N,備用,N,N,Y,Y,Y,N,福星里、萬壽里,50,500,王曉音,02-23144668#131,黃耀農,02-23144668#888,,臺北市萬華區福星里中華路一段66號
SA108-0017,臺北市萬華區龍山國民小學,臺北市,萬華區,青山里,和平西路三段235號,學校,Y,備用,N,N,Y,Y,Y,N,青山里、柳鄉里、菜園里、富福里、糖部里,150,941,蘇乙峰,02-23082977#730,陳培章,02-23082977#700,,臺北市萬華區青山里和平西路三段235號
SA108-0018,臺北市立雙園國民中學,臺北市,萬華區,和德里,興義街二號,學校,N,備用,N,N,Y,Y,Y,N,孝德里、銘德里、和德里、錦德里、和平里、榮德里、華中里、頂碩里、新忠里、新安里、忠貞里、雙園里、新和里，日祥里,210,840,章譽鐘,02-23030827#140,白玉鈴,02-23030827#101,,臺北市萬華區和德里興義街二號
SA108-0019,臺北市市場處臺北市家禽批發市場,臺北市,萬華區,華江里,臺北市萬華區環河南路二段338號,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,1528,6115.41,市場處批發科陳瑞濱,02-2550-5220#2214,畜產公司 廖榮清,02-2305-5115#21,,臺北市萬華區環河南路二段338號
SA108-0020,西門地下街,臺北市,萬華區,光復里,臺北市中華路一段51-1號B1,捷運站體,N,N,N,N,Y,Y,Y,N,全區,770,3080,臺北捷運公司值班站長,25505600#6062,臺北捷運公司值班站長,25505600#6062,,臺北市萬華區光復里臺北市中華路一段51-1號B1
SA108-0021,臺北市市場處西寧市場地下停車場,臺北市,萬華區,福星里,臺北市萬華區西寧南路4號B1,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,505,9216,市場處市場科范佳揚,02-25505220#2138,市場處市場科范佳揚,02-25505220#2138,,臺北市萬華區西寧南路4號B1
SA108-0022,臺北市立圖書館西園分館,臺北市,萬華區,頂碩里,臺北市萬華區興寧街6號3-6樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,40,322,分館主任：林國慶,02-23069046,分館主任：林國慶,02-23069046,,臺北市萬華區興寧街6號3-6樓
SA108-0023,臺北市立圖書館萬華分館,臺北市,萬華區,日善里,臺北市萬華區東園街19號5-7樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,30,611,分館主任：林國慶,02-23391056,分館主任：林國慶,02-23391056,,臺北市萬華區東園街19號5-7樓
SA108-0024,臺北市市場處龍山寺地下街,臺北市,萬華區,糖廍里,臺北市萬華區西園路一段145號B2,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,6050,6655.7,市場處輔導科吳駿永,02-25505220#5007,市場處輔導科吳駿永,02-25505220#5007,,臺北市萬華區西園路一段145號B2
SA108-0025,臺北市市場處環南中繼市場停車場,臺北市,萬華區,綠堤里,環河南路二段338號4樓-5樓,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,7951,203965,市場處市場科陳維心,02-2550-5220#2115,市場處市場科陳維心,02-2550-5220#2115,,臺北市萬華區綠堤里環河南路二段338號4樓-5樓
SA110-0001,臺北市信義區博愛國民小學,臺北市,信義區,安康里,松仁路95巷20號,學校,N,Y,N,N,Y,Y,Y,N,安康里、松友里、廣居里、國業里、富台里,156,1254.52,許柏雄,02-23450616#400,陳順和,02-23450677,,臺北市信義區安康里松仁路95巷20號
SA110-0002,臺北市信義區吳興國民小學,臺北市,信義區,三張里,松仁路226號,學校,Y,備用,Y,N,Y,Y,Y,N,三張里、三犁里、惠安里、六合里、泰和里、雙和里、黎安里、黎忠里,141,546,辛佩儒,02-27200226#50,陳靜宜,02-27200226#10,,臺北市信義區三張里松仁路226號
SA110-0003,臺北市立信義國民中學,臺北市,信義區,三張里,松仁路158巷1號,學校,N,備用,N,N,Y,Y,Y,N,雙和里、泰和里、六合里、惠安里、嘉興里、中興里、景新里、景勤里、三張里、三犁里、景聯里、黎順里、黎安里、黎忠里、松友里,206,824,呂忠信,02-27236771#511,劉文鴻,02-27236771#101,,臺北市信義區三張里松仁路158巷1號
SA110-0004,臺北市立興雅國民中學,臺北市,信義區,安康里,松德路168巷15號,學校,N,Y,N,N,Y,Y,Y,N,敦厚里、六藝里、興雅里、興隆里、新仁里、安康里、富台里、松友里、國業里、廣居里、松隆里、西村里,251,1005,謝永振,02-27232771#500,莊國彰,02-27232771#100,,臺北市信義區安康里松德路168巷15號
SA110-0005,臺北市信義區信義國民小學,臺北市,信義區,景新里,松勤街60號,學校,N,備用,N,N,Y,Y,Y,N,景勤里、三張里、景新里、雙和里、三犁里、黎安里、黎忠里、六合里,164,600,蕭豫奇,02-27204005#831,李淑芳,02-27204005#891,,臺北市信義區景新里松勤街60號
SA110-0006,松德公園,臺北市,信義區,安康里,松德路180巷興雅國中東側,公園/綠地,N,Y,N,N,N,Y,N,Y,全區,1340,10767,高奕翔,02-27884255,高奕翔,02-27884255,,臺北市信義區安康里松德路180巷興雅國中東側
SA110-0007,臺北市信義運動中心,臺北市,信義區,三張里,松勤路100號,圖書館,N,備用,N,N,Y,N,Y,N,三張里、景新里、安康里、三犁里、西村里,200,1055.52,徐苡芹,02-8786-1911#321,葉詩郁,02-2570-2330#6467,,臺北市信義區三張里松勤路100號
